institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Metron Analysis/Parapolitika,2015-09-10,31.3,5.2,5.9,31.7,NA,NA,NA,NA,1206,NA,6.2,NA,NA,NA,3,NA,NA,5.5,NA,NA,5.9,3.3,NA,NA,NA,NA,NA,NA
Public Issue,2015-09-10,31,8,6.5,31,NA,NA,NA,NA,1009,NA,7,NA,NA,NA,2,NA,NA,4.5,NA,NA,3,4,NA,NA,NA,NA,NA,NA
ProRata/EfSyn,2015-09-09,28.5,5.5,5.5,34.5,NA,NA,NA,NA,1300,NA,8,NA,NA,NA,3,NA,NA,5,NA,NA,4,3,NA,NA,NA,NA,NA,NA
ProRata/HellasNet,2015-09-09,28.5,5.5,5.5,34,NA,NA,NA,NA,1300,NA,8,NA,NA,NA,3,NA,NA,5,NA,NA,4,3,NA,NA,NA,NA,NA,NA
Pulse RC/Action24,2015-09-08,30,7,6.5,30.5,NA,NA,NA,NA,1319,NA,7.5,NA,NA,NA,2,NA,NA,6,NA,NA,4,4,NA,NA,NA,NA,NA,NA
GPO/Ethnikos Kirikas,2015-09-04,30.5,6.8,5.7,30,NA,NA,NA,NA,1071,NA,7.4,NA,NA,NA,3.6,NA,NA,5.4,NA,NA,4.5,4.8,NA,NA,NA,NA,NA,NA
MRB/Star,2015-09-04,29.6,6.1,5.9,29.6,NA,NA,NA,NA,1003,NA,7.1,NA,NA,NA,2.7,NA,NA,5.4,NA,NA,4.6,4.3,NA,NA,NA,NA,NA,NA
Pulse RC/bankingnews.gr,2015-09-04,29.5,6.5,6,30,NA,NA,NA,NA,1108,NA,7,NA,NA,NA,3,NA,NA,6,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA
Public Issue,2015-09-04,30,8,7.5,28.5,NA,NA,NA,NA,1002,NA,7,NA,NA,NA,2,NA,NA,5.5,NA,NA,3.5,5,NA,NA,NA,NA,NA,NA
Marc/Ethnos,2015-09-04,29.9,5.4,6,30.4,NA,NA,NA,NA,1032,NA,7.4,NA,NA,NA,3.5,NA,NA,6.3,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-09-03,29.3,6.6,6,30,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,3.4,NA,NA,5.8,NA,NA,4,5.3,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-09-03,30,5,6.5,30,NA,NA,NA,NA,1041,NA,7.5,NA,NA,NA,1.5,NA,NA,6,NA,NA,5,4.5,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-09-03,24,3.8,6.8,32.6,NA,NA,NA,NA,1023,NA,7.4,NA,NA,NA,2.4,NA,NA,7.1,NA,NA,2.9,7.5,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2015-09-02,29.5,6.5,6,30,NA,NA,NA,NA,1105,NA,7.5,NA,NA,NA,3,NA,NA,6,NA,NA,4,5,NA,NA,NA,NA,NA,NA
AUTH,2015-09-02,28.2,4.2,5.5,27.1,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,2.1,NA,NA,5.3,NA,NA,4.8,8.6,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-09-02,30.4,5,6.5,29.6,NA,NA,NA,NA,1207,NA,6.5,NA,NA,NA,2.6,NA,NA,6,NA,NA,5.1,4.3,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-09-02,30.9,6.5,6.2,30.5,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,3.7,NA,NA,5.6,NA,NA,3.9,4.9,NA,NA,NA,NA,NA,NA
Alco/NewsIT,2015-09-02,28.7,5.3,6.9,29.2,NA,NA,NA,NA,1000,NA,7.8,NA,NA,NA,2.6,NA,NA,5.5,NA,NA,4.6,4.9,NA,NA,NA,NA,NA,NA
Pulse RC/Action24,2015-09-01,29.5,6,6,30.5,NA,NA,NA,NA,1108,NA,7.5,NA,NA,NA,3,NA,NA,6,NA,1,3.5,5,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2015-08-28,27.4,5.3,6.1,29.3,NA,NA,NA,NA,1000,NA,8.1,NA,NA,NA,3.1,NA,NA,6.6,NA,1.6,3.9,5.2,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-08-28,28.6,5.4,5.2,31.2,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,3.7,NA,NA,7.1,NA,NA,4.7,4.7,NA,NA,NA,NA,NA,NA
E-Voice/HellasNet,2015-08-27,26.9,4,4.8,32,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,4.2,NA,NA,5.4,NA,NA,3.5,4.8,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-08-27,25.5,5.5,7,29,NA,NA,NA,NA,1100,NA,6.5,NA,NA,NA,2.5,NA,NA,7,NA,NA,5.5,6,NA,NA,NA,NA,NA,NA
MRB/Agora,2015-08-27,27.4,4.7,5.7,29.6,NA,NA,NA,NA,1008,NA,7.5,NA,NA,NA,2.8,NA,NA,6.7,NA,NA,5.7,5.1,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-08-27,27.8,5.4,5.9,29,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,2.3,NA,NA,6.7,NA,NA,4.9,4.1,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-08-26,27.9,4.6,5.8,31.5,NA,NA,NA,NA,1005,NA,7.8,NA,NA,NA,3.5,NA,NA,6.3,NA,NA,3.8,5.5,NA,NA,NA,NA,NA,NA
ProRata/EfSyn,2015-08-26,26,6,6.5,31,NA,NA,NA,NA,1000,NA,8.5,NA,NA,NA,2.5,NA,NA,5.5,NA,NA,4,4.5,NA,NA,NA,NA,NA,NA
Rass/To Paron,2015-08-26,26.8,3.8,6.8,29.5,NA,NA,NA,NA,1003,NA,7,NA,NA,NA,2.8,NA,NA,7.2,NA,NA,5.2,6.4,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-08-26,22.8,3.6,7.2,33.4,NA,NA,NA,NA,1015,NA,7.4,NA,NA,NA,3,NA,NA,7.7,NA,NA,3.2,7.6,NA,NA,NA,NA,NA,NA
Interview/Vergina TV,2015-08-25,26.5,5.5,5.5,29,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4,NA,NA,6.5,NA,NA,5,5.5,NA,NA,NA,NA,NA,NA
Bridging Europe,2015-07-24,23.1,3.7,6.5,41.2,NA,NA,NA,NA,1010,NA,7.3,NA,NA,NA,5.1,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-07-21,21.9,4.4,5.1,41.2,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,3.4,NA,NA,7.5,NA,1.6,4,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis/EfSyn,2015-07-17,21.5,6,5.5,42.5,NA,NA,NA,NA,1004,NA,6.5,NA,NA,NA,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-07-09,22.6,5,4.5,45.6,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,3.2,NA,NA,6.3,NA,1.3,4.1,NA,NA,NA,NA,NA,NA,NA
Marc,2015-07-03,24.9,5.6,5.2,40.5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3.7,NA,NA,6.2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
ProRata,2015-07-02,24,3,6.5,42,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2.5,NA,NA,6.5,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2015-06-26,25.5,4.6,6.1,38.6,NA,NA,NA,NA,1000,NA,6.3,NA,NA,NA,3.9,NA,NA,6.3,NA,1.8,2.3,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-06-17,19.5,4.5,5.5,47.5,NA,NA,NA,NA,1006,NA,6.5,NA,NA,NA,4,NA,NA,6.5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
ProRata/Sto Kokkino,2015-06-16,17.5,4,5,43,NA,NA,NA,NA,1006,NA,7.5,NA,NA,NA,4,NA,NA,7.5,NA,1.5,4,NA,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-06-15,26,3.6,6.1,39.7,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,4.2,NA,NA,6.8,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-06-12,28.2,3.6,6.2,37.6,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,5.9,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-06-10,23.6,3.9,6.3,41.2,NA,NA,NA,NA,1001,NA,6,NA,NA,NA,4.5,NA,NA,7.6,NA,1.3,2.2,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-06-06,21.4,3.5,5.2,45,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,3.8,NA,NA,7.4,NA,2.1,1.3,NA,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-06-06,20.5,4.5,6,43,NA,NA,NA,NA,1058,NA,7,NA,NA,NA,3.5,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco/NewsIT,2015-06-04,25.6,4.3,5.6,39.2,NA,NA,NA,NA,1000,NA,6,NA,NA,NA,4,NA,NA,6.6,NA,1.2,2,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-05-29,27.4,3.5,6,37.8,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,6,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-05-22,27.2,3.5,5.9,38,NA,NA,NA,NA,1108,NA,5.8,NA,NA,NA,6,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue,2015-05-19,21,4,6,48.5,NA,NA,NA,NA,1013,NA,6,NA,NA,NA,3.5,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAMAK/Skai,2015-05-15,19,3.5,5,45,NA,NA,NA,NA,1023,NA,7.5,NA,NA,NA,3.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass/To Paron,2015-05-07,23.3,4,5.8,43.7,NA,NA,NA,NA,1002,NA,5,NA,NA,NA,5.1,NA,NA,7.2,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA
MRB/Real News,2015-05-07,24.2,3.5,6.4,41.8,NA,NA,NA,NA,1006,NA,5.9,NA,NA,NA,4.7,NA,NA,6.7,NA,1.2,2.5,NA,NA,NA,NA,NA,NA,NA
Marc/EfSyn,2015-05-07,24.1,3.6,5.7,41.6,NA,NA,NA,NA,1001,NA,6.2,NA,NA,NA,4.7,NA,NA,7.7,NA,1.5,1.7,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis/SBC TV,2015-05-06,20.5,3.5,5,44.5,NA,NA,NA,NA,1036,NA,6.5,NA,NA,NA,4,NA,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ProRata/Sto Kokkino,2015-05-06,18.5,3.5,6,47.5,NA,NA,NA,NA,1000,NA,6,NA,NA,NA,3.5,NA,NA,6.5,NA,1.5,2,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-04-30,27.8,3.9,5.8,39.1,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,5.8,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2015-04-29,24.4,4.4,6.1,40.6,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,5.6,NA,NA,7.2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-04-28,24.1,3.2,5.9,41.3,NA,NA,NA,NA,1001,NA,6.1,NA,NA,NA,4.9,NA,NA,6.7,NA,1.6,1.7,NA,NA,NA,NA,NA,NA,NA
Alco/Proto Thema,2015-04-23,26,3.9,6.1,42.7,NA,NA,NA,NA,1000,NA,6,NA,NA,NA,4.3,NA,NA,6.1,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA
Kapa Research/To Vima,2015-04-22,24.1,4.3,5.6,41,NA,NA,NA,NA,1007,NA,6.3,NA,NA,NA,5.1,NA,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-04-16,27.5,3.5,5.9,39.4,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,5.6,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-04-04,20.9,4.3,5,45.6,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,3.8,NA,NA,7.5,NA,1.7,2.2,NA,NA,NA,NA,NA,NA,NA
Metrisi/Proto Thema,2015-04-02,27,3.3,5.8,40.3,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,5.5,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metrisi/iefimerida,2015-03-20,26.8,3.1,5.9,40.9,NA,NA,NA,NA,1008,NA,6.7,NA,NA,NA,4.8,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmos Analysis/SBC TV,2015-03-19,20.5,2.5,5.5,51.5,NA,NA,NA,NA,1006,NA,4.5,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-03-18,23.4,2.8,5.5,44.8,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,5,NA,NA,4.8,NA,2,1.6,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-03-18,21.1,3.4,4.5,47.8,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,4.4,NA,NA,5.6,NA,2.2,2.1,NA,NA,NA,NA,NA,NA,NA
Interview/Vergina TV,2015-03-17,19.8,3.7,6,46.4,NA,NA,NA,NA,1000,NA,6.7,NA,NA,NA,5.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB/Star,2015-03-02,21.5,3.2,5.9,46.2,NA,NA,NA,NA,1009,NA,5.7,NA,NA,NA,6,NA,NA,6,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Parapolitika,2015-02-25,20.7,3.4,4.7,47.6,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,4.3,NA,NA,6.4,NA,1.6,2.8,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2015-02-13,20,3,5.2,49.4,NA,NA,NA,NA,1005,NA,5.1,NA,NA,NA,5.1,NA,NA,5,NA,2.2,2,NA,NA,NA,NA,NA,NA,NA
Kapa Research/Ethnos,2019-07-05,40,NA,5.4,28,NA,NA,NA,NA,1241,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.5,3.1,7.3,3.4
Marc/ΑΝΤ1,2019-07-04,38.9,NA,5.5,27.5,NA,NA,NA,NA,1412,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,1.9,3.9,7,3.7
MRB/Star,2019-07-04,38.8,NA,5.7,28.5,NA,NA,NA,NA,1205,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,1.7,3.4,7.8,4.1
Rass/Action24,2019-07-04,39.4,NA,5.9,27.7,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.8,3.2,8.2,3
Pulse RC/Skai,2019-07-03,38.9,NA,5.4,30.3,NA,NA,NA,NA,1206,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.6,3.2,7.6,3.2
Interview/Vergina TV,2019-07-03,35.7,NA,5.3,25.1,NA,NA,NA,NA,1005,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,4,7.2,2.4
Public Issue,2019-07-03,42.5,NA,5.5,27,NA,NA,NA,NA,1003,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,8,3
Alco/Open TV,2019-07-02,38.9,NA,4.9,27.8,NA,NA,NA,NA,1000,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.5,3.6,8,3
ProRata/Newpost,2019-07-01,39.5,NA,5.5,26.5,NA,NA,NA,NA,1000,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,7,3.2
Metron Analysis/Alpha TV,2019-07-01,38.6,NA,5.2,29.2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1.7,3.4,7.5,4.5
Rass/in.gr,2019-06-27,38.8,NA,6.7,28.7,NA,NA,NA,NA,1002,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,3.7,9.5,3.1
MRB/Ta Nea,2019-06-26,37.9,NA,5,29,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,1.3,3.7,8.1,3.3
Interview/Politik,2019-06-26,39.1,NA,5.2,28.5,NA,NA,NA,NA,1005,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,4.5,7.5,2.8
Pulse RC/Skai,2019-06-26,39,NA,5.4,29,NA,NA,NA,NA,1504,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,1.1,3.8,7.6,3.8
Marc/ΑΝΤ1,2019-06-23,38.3,NA,5.7,27,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,1.6,3.7,8,3.9
Metron Analysis/To Vima,2019-06-22,38.5,NA,5.2,29.5,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,1,2.8,8,2.5
ProRata/Newpost,2019-06-20,40,NA,5,27.5,NA,NA,NA,NA,1000,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,7.5,3.5
Interview/Vergina TV,2019-06-20,37.6,NA,5.8,26.5,NA,NA,NA,NA,1000,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,4.6,7.2,3
Opinion Poll/The TOC,2019-06-19,39.8,NA,4.6,27,NA,NA,NA,NA,1302,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,2.3,3.6,6.4,4.1
Alco/Open TV,2019-06-19,38.1,NA,5.6,27.3,NA,NA,NA,NA,1000,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,2.1,3.5,7.6,4.1
Pulse RC/Skai,2019-06-19,38,NA,6,29.5,NA,NA,NA,NA,1221,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,1.5,3.5,7.5,4
Pulse RC/Skai,2019-06-12,38,NA,6,28.5,NA,NA,NA,NA,1356,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3.5,7.5,4
MRB/Star,2019-06-12,37,NA,6,28,NA,NA,NA,NA,1003,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,3,7.3,4
Metron Analysis/Alpha TV,2019-06-05,39.8,NA,4.8,29.6,NA,NA,NA,NA,1203,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2.5,7.7,3.6
Pulse RC/Skai,2019-06-01,36.5,NA,6,26.5,NA,NA,NA,NA,1358,NA,5.5,NA,NA,NA,NA,NA,NA,1.5,NA,NA,1.5,NA,NA,NA,1.5,4.5,8.5,3
Vox Pop Analysis/neaselida.gr,2019-05-24,33.2,NA,4.5,32,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.5,NA,NA,NA,1.2,2.2,5.5,2.4
Rass/Action24,2019-05-17,36,NA,7.6,26.4,NA,NA,NA,NA,1003,NA,7.3,NA,NA,NA,1.7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2.4,9.9,NA
MRB/Star,2019-05-08,36.2,NA,6.9,27.3,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,1.9,NA,NA,2.8,NA,NA,NA,NA,2,7.5,NA
Palmos Analysis/tvxs,2019-04-25,34,NA,7.5,28.5,NA,NA,NA,NA,1004,NA,5.5,NA,NA,NA,1,NA,NA,1.5,NA,NA,3,NA,NA,1.8,NA,3.5,9,NA
Opinion Poll/Théma 104.6,2019-04-17,40.6,NA,6.3,21.8,NA,NA,NA,NA,1204,NA,6.7,NA,NA,NA,0.4,NA,NA,1.7,NA,NA,2.3,1.6,NA,NA,1.4,3.2,7.1,1.3
Interview/Vergina TV,2019-04-17,36.8,NA,7,25.4,NA,NA,NA,NA,1005,NA,8.7,NA,NA,NA,1.5,NA,NA,1.4,NA,NA,2.4,1.6,NA,NA,1.7,2.9,8.1,0.6
Metron Analysis/Alpha TV,2019-04-17,35.4,NA,6.1,28.8,NA,NA,NA,NA,1200,NA,6.2,NA,NA,NA,1.8,NA,NA,2.1,NA,NA,2.8,1.2,NA,NA,NA,2.9,8.4,NA
Metron Analysis/Alpha TV,2019-04-17,37.5,NA,6.4,27.3,NA,NA,NA,NA,1200,NA,6.7,NA,NA,NA,1.3,NA,NA,2,NA,NA,2.2,NA,NA,NA,NA,3.1,8.7,NA
MRB/Star,2019-04-03,37.3,NA,7.2,27.4,NA,NA,NA,NA,1003,NA,7.3,NA,NA,NA,1.2,NA,NA,1.6,NA,NA,2.4,NA,NA,1.2,NA,2.7,7.6,NA
Marc/Proto Thema,2019-04-01,37.1,NA,6.4,25.9,NA,NA,NA,NA,1200,NA,7.1,NA,NA,NA,NA,NA,NA,1.3,NA,NA,3.1,1.2,NA,NA,1.2,3.1,7.8,1.8
Rass/in.gr,2019-03-28,35.9,NA,8.5,25.3,NA,NA,NA,NA,1005,NA,8.3,NA,NA,NA,1.7,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,2,10.7,NA
Pulse RC/Skai,2019-03-27,36.5,NA,6.5,25.5,NA,NA,NA,NA,1452,NA,8.5,NA,NA,NA,1.5,NA,NA,1.5,NA,NA,2,1.5,NA,1,1.5,2.5,8.5,NA
Vox Pop Analysis/Documento,2019-03-20,34.4,NA,5,31.8,NA,NA,NA,NA,1000,NA,8.8,NA,NA,NA,0.5,NA,NA,0.9,NA,NA,0.8,NA,NA,NA,NA,NA,6.5,NA
Metron Analysis/To Vima,2019-03-20,36.8,NA,6.2,26,NA,NA,NA,NA,1204,NA,7.5,NA,NA,NA,1.4,NA,NA,1.5,NA,NA,1.8,1.7,NA,NA,NA,2.1,7.4,NA
Pulse RC/Skai,2019-02-26,37,NA,7,24.5,NA,NA,NA,NA,1323,NA,9,NA,NA,NA,1,NA,NA,1,NA,NA,2.5,1,NA,NA,1.5,3,8,NA
Alco/Open TV,2019-02-23,32.8,NA,7,25,NA,NA,NA,NA,1000,NA,7.3,NA,NA,NA,1.9,NA,NA,1.8,NA,NA,3.7,3.6,NA,NA,NA,1.9,5.7,NA
Public Issue,2019-02-14,39,NA,6.5,24.5,NA,NA,NA,NA,1002,NA,7.5,NA,NA,NA,1,NA,NA,1,NA,NA,1.5,NA,NA,NA,NA,3,8.5,NA
Interview/Vergina TV,2019-02-05,36.7,NA,6.5,24.7,NA,NA,NA,NA,1000,NA,7.5,NA,NA,NA,1.7,NA,NA,1.4,NA,NA,2.8,1.6,NA,NA,1.5,3.3,6.1,NA
ProRata/EfSyn,2019-02-04,36.5,NA,6.5,29.5,NA,NA,NA,NA,1000,NA,8.5,NA,NA,NA,0,NA,NA,0.5,NA,NA,2,0.5,NA,1,1,3,7.5,0.5
Metron Analysis/To Vima,2019-02-02,37.2,NA,6.1,25.1,NA,NA,NA,NA,1205,NA,9.1,NA,NA,NA,1.3,NA,NA,1.9,NA,NA,2.7,1.5,NA,1.3,NA,2.8,7,NA
Vox Pop Analysis/Documento,2019-01-29,34.3,NA,4.1,31.9,NA,NA,NA,NA,7.5360000000000005,NA,10.7,NA,NA,NA,1,NA,NA,0.8,NA,NA,2.2,1,NA,NA,1.5,2.6,5.6,NA
Rass/in.gr,2019-01-24,36.6,NA,8.6,25.2,NA,NA,NA,NA,1004,NA,8.4,NA,NA,NA,1.9,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,1.8,10.3,NA
Pulse RC/Skai,2019-01-22,38,NA,6.5,26,NA,NA,NA,NA,1326,NA,9,NA,NA,NA,1,NA,NA,1,NA,NA,2,1,NA,NA,1,2,7.5,NA
Marc/Proto Thema,2019-01-17,37.3,NA,6.9,26.9,NA,NA,NA,NA,1002,NA,7.5,NA,NA,NA,1.7,NA,NA,2.2,NA,NA,2.7,1.4,NA,1.1,NA,2.6,7.5,NA
Opinion Poll,2019-01-16,42.5,NA,5.5,22.2,NA,NA,NA,NA,1000,NA,5.8,NA,NA,NA,0.5,NA,NA,1,NA,NA,2,1.7,NA,NA,2,2.9,5.1,NA
Pulse RC/Skai,2018-12-18,38,NA,7,26,NA,NA,NA,NA,1359,NA,8,NA,NA,NA,1.5,NA,NA,1.5,NA,NA,2,NA,NA,1,NA,2,8,NA
Alco/Open TV,2018-12-10,32.8,NA,7.4,25.4,NA,NA,NA,NA,1000,NA,8.6,NA,NA,NA,2.4,NA,NA,1.5,NA,NA,2.3,3.4,NA,NA,NA,2.4,6.4,NA
MRB/Real.gr,2018-12-06,37.1,NA,7.1,27.6,NA,NA,NA,NA,2000,NA,8.1,NA,NA,NA,1.7,NA,NA,1.7,NA,NA,2.7,NA,NA,1.2,NA,1.5,8.1,NA
Kapa Research/thebest.gr,2018-12-06,31.7,NA,7.4,25.7,NA,NA,NA,NA,1004,NA,10,NA,NA,NA,2.8,NA,NA,1.9,NA,NA,2.9,1.6,NA,1.4,NA,2.3,8.1,NA
Palmos Analysis/tvxs,2018-11-23,34,NA,6.5,28.5,NA,NA,NA,NA,1025,NA,7.5,NA,NA,NA,1.5,NA,NA,2.5,NA,NA,3.5,NA,NA,NA,NA,2,6.5,NA
Metron Analysis/Ta Nea,2018-11-21,37.8,NA,6.3,26.9,NA,NA,NA,NA,1205,NA,7.2,NA,NA,NA,1.3,NA,NA,2.5,NA,NA,2.4,NA,NA,NA,NA,2,6.9,NA
Pulse RC/Skai,2018-11-20,36.5,NA,7.5,25.5,NA,NA,NA,NA,1354,NA,8.5,NA,NA,NA,2,NA,NA,2,NA,NA,2.5,1,NA,NA,NA,2,9,NA
Public Issue,2018-11-16,38.5,NA,7.5,22,NA,NA,NA,NA,1000,NA,7,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,9.5,NA
Marc/Proto Thema,2018-10-24,36.8,NA,7.3,23.7,NA,NA,NA,NA,1002,NA,7.6,NA,NA,NA,1.5,NA,NA,2.3,NA,NA,2.8,1.5,NA,NA,NA,2.2,8.4,NA
